id,ident,type,name,location.longitude,location.latitude,location,_location_latitude,_location_longitude,_location_altitude,_location_precision,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,meta/instanceID,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
31765,GAKA,small_airport,Kenieba Airport,-11.25,12.83300018,12.83300018 -11.25  ,12.83300018,-11.25,,,449,ML-1,Kenieba,0,GAKA,n/a,n/a,n/a,uuid:ec7a34b2-c9e3-47ab-86d0-ab349d1f2be3,762781,ec7a34b2-c9e3-47ab-86d0-ab349d1f2be3,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
32031,GANR,small_airport,Nioro du Sahel Airport,-9.576109886,15.23810005,15.23810005 -9.576109886  ,15.23810005,-9.576109886,,,778,ML-1,Nioro du Sahel,0,GANR,n/a,n/a,n/a,uuid:b46480d0-9b6b-43f6-9fab-e71d892e0a7a,762782,b46480d0-9b6b-43f6-9fab-e71d892e0a7a,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31504,GADA,small_airport,Dioila Airport,-6.800000191,12.5,12.5 -6.800000191  ,12.5,-6.800000191,,,1050,ML-2,Dioila,0,GADA,n/a,n/a,n/a,uuid:334c9f5c-4cbf-44e5-8d9d-cc06e6f9b8da,762783,334c9f5c-4cbf-44e5-8d9d-cc06e6f9b8da,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31506,GAFD,small_airport,Faladie Airport,-8.333000183,13.14999962,13.14999962 -8.333000183  ,13.14999962,-8.333000183,,,1115,ML-2,Faladie,0,GAFD,n/a,n/a,n/a,uuid:0e49de93-8c8a-436e-a53c-59ce343df674,762784,0e49de93-8c8a-436e-a53c-59ce343df674,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31509,GAKN,small_airport,Kolokani Airport,-8.050000191,13.53299999,13.53299999 -8.050000191  ,13.53299999,-8.050000191,,,1457,ML-2,Kolokani,0,GAKN,n/a,n/a,n/a,uuid:f9445cba-5832-49f7-88cc-41ecb0409e33,762785,f9445cba-5832-49f7-88cc-41ecb0409e33,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
32046,GANK,small_airport,Nara Airport,-7.267000198,15.21700001,15.21700001 -7.267000198  ,15.21700001,-7.267000198,,,889,ML-2,Nara,0,GANK,n/a,n/a,n/a,uuid:60e5cab6-ecaf-4ff6-ad86-8460ef3ab2e3,762786,60e5cab6-ecaf-4ff6-ad86-8460ef3ab2e3,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
3070,GASO,small_airport,Dignangan Airport,-5.799709797,11.59799957,11.59799957 -5.799709797  ,11.59799957,-5.799709797,,,1301,ML-3,n/a,0,GASO,n/a,n/a,n/a,uuid:db002d4c-1d65-48a9-8b79-46248aac260f,762787,db002d4c-1d65-48a9-8b79-46248aac260f,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31502,GABG,small_airport,Bougouni Airport,-7.517000198,11.44999981,11.44999981 -7.517000198  ,11.44999981,-7.517000198,,,1139,ML-3,Bougouni,0,GABG,n/a,n/a,n/a,uuid:0753d572-b081-4f45-a40e-25eeefe6ba2b,762788,0753d572-b081-4f45-a40e-25eeefe6ba2b,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31778,GASK,small_airport,Sikasso Airport,-5.699999809,11.33300018,11.33300018 -5.699999809  ,11.33300018,-5.699999809,,,1378,ML-3,Sikasso,0,GASK,n/a,n/a,n/a,uuid:0dc99af8-ca20-4d1b-b4ce-5419b5aeabae,762789,0dc99af8-ca20-4d1b-b4ce-5419b5aeabae,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31783,GAKO,small_airport,Koutiala Airport,-5.467000008,12.38300037,12.38300037 -5.467000008  ,12.38300037,-5.467000008,,,1240,ML-3,Koutiala,0,GAKO,n/a,n/a,n/a,uuid:cc91272d-a95f-4b13-a70f-1743891d924c,762790,cc91272d-a95f-4b13-a70f-1743891d924c,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31508,GAKM,small_airport,Ke-Macina Airport,-5.382999897,13.96700001,13.96700001 -5.382999897  ,13.96700001,-5.382999897,,,902,ML-4,Ke-Macina,0,GAKM,n/a,n/a,n/a,uuid:5a4b96a1-e13f-4a5b-bd97-03065ec2c2af,762791,5a4b96a1-e13f-4a5b-bd97-03065ec2c2af,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31511,GAMA,small_airport,Markala Airport,-6.066999912,13.69999981,13.69999981 -6.066999912  ,13.69999981,-6.066999912,,,1251,ML-4,Markala,0,GAMA,n/a,n/a,n/a,uuid:f338fc61-3169-4a0e-9d6a-9c41200de03b,762792,f338fc61-3169-4a0e-9d6a-9c41200de03b,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31500,GABD,small_airport,Bandiagara Airport,-3.599999905,14.33300018,14.33300018 -3.599999905  ,14.33300018,-3.599999905,,,1312,ML-5,Bandiagara,0,GABD,n/a,n/a,n/a,uuid:5b5b684c-1ad2-4ff4-8ca6-6ab4219b402c,762793,5b5b684c-1ad2-4ff4-8ca6-6ab4219b402c,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31505,GADZ,small_airport,Douentza Airport,-2.917000055,15,15 -2.917000055  ,15,-2.917000055,,,984,ML-5,Douentza,0,GADZ,n/a,n/a,n/a,uuid:3b65f9f0-04b0-49f5-96c7-63e16a535404,762794,3b65f9f0-04b0-49f5-96c7-63e16a535404,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31513,GANF,small_airport,Niafunke Airport,-4.017000198,15.93299961,15.93299961 -4.017000198  ,15.93299961,-4.017000198,,,866,ML-6,Niafunke,0,GANF,n/a,n/a,n/a,uuid:143b89a6-5d3d-42b0-941d-b3adb2a2b50a,762795,143b89a6-5d3d-42b0-941d-b3adb2a2b50a,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31555,GAGM,small_airport,Goundam Airport,-3.599720001,16.3614006,16.3614006 -3.599720001  ,16.3614006,-3.599720001,,,866,ML-6,Goundam,0,GAGM,n/a,n/a,n/a,uuid:679f2112-c173-4ee1-a22c-e3e416311d1f,762796,679f2112-c173-4ee1-a22c-e3e416311d1f,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
3072,GATS,small_airport,Tessalit Airport,0.977307975,20.24300003,20.24300003 0.977307975  ,20.24300003,0.977307975,,,1621,ML-7,n/a,0,GATS,n/a,n/a,n/a,uuid:fd95e3b4-bd0f-4b4f-994e-88f7eb9af74f,762797,fd95e3b4-bd0f-4b4f-994e-88f7eb9af74f,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31499,GAAO,small_airport,Ansongo Airport,0.5,15.69999981,15.69999981 0.5  ,15.69999981,0.5,,,853,ML-7,Ansongo,0,GAAO,n/a,n/a,n/a,uuid:bbb87ca2-e626-4b8b-9596-d14218089381,762798,bbb87ca2-e626-4b8b-9596-d14218089381,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31503,GABR,small_airport,Bourem Airport,-0.400000006,17.03300095,17.03300095 -0.400000006  ,17.03300095,-0.400000006,,,941,ML-7,Bourem,0,GABR,n/a,n/a,n/a,uuid:762a74c8-3536-4dc4-a700-ef157d58d64e,762799,762a74c8-3536-4dc4-a700-ef157d58d64e,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31512,GAMK,small_airport,Menaka Airport,2.433000088,15.85000038,15.85000038 2.433000088  ,15.85000038,2.433000088,,,899,ML-7,Menaka,0,GAMK,n/a,n/a,http://en.wikipedia.org/wiki/M%C3%A9naka_Airport,uuid:e4ab9082-aa23-462a-bb9a-ffc5c0cfd9c0,762800,e4ab9082-aa23-462a-bb9a-ffc5c0cfd9c0,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
31507,GAKL,small_airport,Kidal Airport,1.417000055,18.43300056,18.43300056 1.417000055  ,18.43300056,1.417000055,,,1496,ML-8,Kidal,0,GAKL,n/a,n/a,http://en.wikipedia.org/wiki/Kidal_Airport,uuid:f7d57abb-10e3-4775-8998-39a8722a7b7d,762801,f7d57abb-10e3-4775-8998-39a8722a7b7d,2014-11-25T08:34:51,,,201411250834,,,n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ML-7,.,n/a,n/a,n/a,n/a,n/a,uuid:a1cf0621-bed7-4572-be64-271389356cef,19748603,a1cf0621-bed7-4572-be64-271389356cef,2017-09-22T08:27:10,,,201504241553,,,0,0,True,18477
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:41c3ca86-3b5d-47ab-9cfe-d388c33137d4,19748629,41c3ca86-3b5d-47ab-9cfe-d388c33137d4,2017-09-22T08:28:17,,,201504241553,,,0,0,True,18477
